appid,name,average_forever,average_2weeks,median_forever,median_2weeks,ccu,genre,price,categories 1,categories 2,ratings,owners_average,MutualPlayerCount,cat_1_Multi-player,cat_1_Single-player,cat_2_Single-player,cat_2_Multi-player,Action,Adventure,Animation & Modeling,Casual,Design & Illustration,Early Access,Education,Free to Play,Game Development,Gore,Indie,Massively Multiplayer,Movie,Nudity,RPG,Racing,Sexual Content,Simulation,Sports,Strategy,Utilities,Violent,Web Publishing,single player,multi player
32330,LEGO Indiana Jones: The Original Adventures,1067,78,906,78,46,"['Action', 'Adventure']",19.99,Single-player,Multi-player,0.789176978,350000,20,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
6000,STAR WARS Republic Commando,443,0,164,0,57,['Action'],9.99,Single-player,Multi-player,0.838779528,1500000,49,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
34900,Bad Rats: the Rats' Revenge,116,0,135,0,17,['Indie'],1.99,Single-player,,0.782249295,350000,130,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35140,Batman: Arkham Asylum Game of the Year Edition,532,22,317,22,486,"['Action', 'Adventure']",19.99,Single-player,,0.903452387,3500000,449,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
38400,Fallout: A Post Nuclear Role Playing Game,299,0,42,0,199,['RPG'],9.99,Single-player,,0.838835791,3500000,88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
38410,Fallout 2: A Post Nuclear Role Playing Game,492,0,59,0,289,['RPG'],9.99,Single-player,,0.82900589,1500000,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
15520,AaAaAA!!! - A Reckless Disregard for Gravity,64,0,92,0,1,"['Action', 'Indie', 'Sports']",9.99,Single-player,,0.780309608,150000,20,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
32370,STAR WARS Knights of the Old Republic,2208,0,413,0,317,"['Adventure', 'RPG']",9.99,Single-player,,0.845123833,1500000,91,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
8980,Borderlands Game of the Year,1979,0,797,0,133,"['Action', 'RPG']",29.99,Single-player,Multi-player,0.844582345,1500000,359,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
41500,Torchlight,494,0,413,0,43,['RPG'],14.99,Single-player,,0.803120817,1500000,116,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
17450,Dragon Age: Origins,1794,0,897,0,18,['RPG'],0,Single-player,,0.815412312,750000,81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
18110,Shattered Horizon,77,0,130,0,0,"['Action', 'Indie']",0,Single-player,Multi-player,0.779910841,150000,6,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
