appid,name,developer,publisher,score_rank,positive,negative,owners,average_forever,average_2weeks,median_forever,median_2weeks,ccu,genre,currency,final,categories,positive_ratio,ratings,owners_average,MutualPlayerCount
22330,The Elder Scrolls IV: Oblivion Game of the Year Edition,Bethesda Game Studios,Bethesda Softworks,,42739,1990,"1,000,000 .. 2,000,000",2253,5,540,5,1133,RPG,USD,14.99,"Single-player, Steam Cloud, Family Sharing",0.9555098481969192,0.8854035368439798,1500000.0,193
9860,The Chronicles of Riddick Assault on Dark Athena,Starbreeze Studios AB,Atari,,0,0,"0 .. 20,000",400,0,750,0,2,Action,,0.0,"Single-player, Multi-player, Family Sharing",,0.7787901224971441,10000.0,9
35700,Trine Enchanted Edition,Frozenbyte,Frozenbyte,,14062,612,"2,000,000 .. 5,000,000",233,0,168,0,40,"Action, Adventure, Indie",USD,14.99,"Single-player, Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",0.958293580482486,0.8385368379439376,3500000.0,218
6040,The Dig,LucasArts,LucasArts,,1017,91,"100,000 .. 200,000",344,0,345,0,8,Adventure,USD,5.99,"Single-player, Steam Cloud, Family Sharing",0.9178700361010831,0.7838391775475861,150000.0,14
32330,LEGO Indiana Jones: The Original Adventures,Traveller's Tales,"LucasArts, Lucasfilm, Disney",,2909,390,"200,000 .. 500,000",1067,78,906,78,46,"Action, Adventure",USD,19.99,"Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Full controller support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, Family Sharing",0.881782358290391,0.7891769778082884,350000.0,20
6000,STAR WARS Republic Commando,LucasArts,"LucasArts, Lucasfilm, Disney",,14196,625,"1,000,000 .. 2,000,000",443,0,164,0,57,Action,USD,9.99,"Single-player, Multi-player, PvP, Shared/Split Screen PvP, Steam Cloud, Remote Play Together, Family Sharing",0.9578301059307739,0.8387795282918411,1500000.0,49
34900,Bad Rats: the Rats' Revenge,Invent4 Entertainment,Strategy First,,11751,3141,"200,000 .. 500,000",116,0,135,0,17,Indie,USD,1.99,"Single-player, Steam Achievements, Steam Trading Cards, Family Sharing",0.7890813859790492,0.7822492949704891,350000.0,130
35140,Batman: Arkham Asylum Game of the Year Edition,Rocksteady Studios,WB Games,,59341,2283,"2,000,000 .. 5,000,000",532,22,317,22,486,"Action, Adventure",USD,19.99,"Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing",0.9629527456835,0.9034523872741699,3500000.0,449
38400,Fallout: A Post Nuclear Role Playing Game,Interplay Inc.,Bethesda Softworks,,16741,1111,"2,000,000 .. 5,000,000",299,0,42,0,199,RPG,USD,9.99,"Single-player, Steam Cloud, Family Sharing",0.9377660766300695,0.8388357912411712,3500000.0,88
38410,Fallout 2: A Post Nuclear Role Playing Game,Black Isle Studios,Bethesda Softworks,,12201,735,"1,000,000 .. 2,000,000",492,0,59,0,289,RPG,USD,9.99,"Single-player, Steam Cloud, Family Sharing",0.9431818181818182,0.829005889905613,1500000.0,59
